grande struttura;TantiMedici;Odontoiatri Universitari;Geologi SSN;Oper. tecn.di assist. Universitari;Biologi Universitari;Cod. e Denom. Str.Pubblica New;Tipo Struttura Pubblica;Ausiliari specializ. Universitari;Denominazione Str. Pubblica New;Tecnico-Sanitario Universitari;Addetti ai L.S.U. SSN;Medici Universitari;Assistenti sociali SSN;Analisti Universitari;Statistici SSN;Riabilitazione SSN;Assistenti religiosi SSN;Vigilanza e ispezione Universitari;Operatori tecnici Universitari;Vigilanza e ispezione SSN;Coadiutori Amminist. SSN;Odontoiatri SSN;Contrattisti Univ.;Oper. II cat. SSN;Specializzandi SSN;Coadiutori Amminist. Universitari;Oper. tecn. di assist. SSN;Ingegneri Universitari;Farmacisti SSN;Architetti SSN;Assistenti tecnici Universitari;Riabilitazione Universitari;Collabor. Amminist. Universitari;Codice Regione;Commessi Universitari;Addetti ai L.S.U. Univ.;Didattico-Organiz. Universitari;Assistenti tecnici SSN;Collab. tecn.profes. Universitari;Chimici Universitari;Assistenti Amminist. Universitari;Oper. I cat. Coor. Universitari;Psicologi SSN;Chimici SSN;Qualifiche Atipiche SSN;Specializzandi Univ.;Programmatori SSN;Operatori tecnici SSN;Programmatori Universitari;Sociologi Universitari;Statistici Universitari;Assistenti sociali Universitari;Farmacisti Universitari;Analisti SSN;Oper. I cat. Coor. SSN;Direttori Amminist. SSN;Oper. II cat. Universitari;Collabor. Amminist. SSN;Regione;Avvocati SSN;Tecnico-Sanitario SSN;Collab. tecn.profes. SSN;Anno di Riferimento;Geologi Universitari;Architetti Universitari;Codice Struttura Pubblica New;Biologi SSN;Avvocati Universitari;Ingegneri SSN;Qualifiche Atipiche Univ.;Assistenti Amminist. SSN;Fisici Universitari;Commessi SSN;Assistenti religiosi Universitari;Ausiliari specializ. SSN;Psicologi Universitari;Direttori Amminist. Universitari;Didattico-Organiz.SSN;Sociologi SSN;Contrattisti SSN;Codice Tipo  Struttura Pubblica;Fisici SSN;Medici SSN
0;1;;;0;0;010902   C.T.O.-MARIA ADELAIDE;AZIENDA OSPEDALIERA;0;C.T.O.-MARIA ADELAIDE;0;;10;4;0;;114;2;0;0;6;76;;;50;;0;216;0;4;1;0;0;0;10;0;;0;38;0;;0;0;4;;;;3;110;0;;;0;0;1;689;9;0;61;Piemonte;1;91;16;2010;;0;10902;7;0;1;;68;;4;0;43;0;0;1;;;0;;299
0;0;;;0;3;010903   AZIENDA OSPEDALIERA O.I.R.M.S.-SANT'ANNA;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA O.I.R.M.S.-SANT'ANNA;10;;39;6;0;;16;2;;0;;106;;;128;;0;320;0;8;2;2;0;6;10;0;;0;17;5;0;6;5;6;5;;;1;122;0;;;0;0;3;807;14;0;75;Piemonte;;200;17;2010;;0;10903;38;;3;;121;0;5;0;28;0;0;0;;;0;3;360
0;1;;;0;0;010906   AZ. OSPEDAL. S. CROCE E CARLE;AZIENDA OSPEDALIERA;0;AZ. OSPEDAL. S. CROCE E CARLE;0;;0;;0;;23;1;0;0;10;27;;;31;;0;173;0;5;0;0;0;0;10;;;0;17;0;0;0;0;1;1;1;;1;100;0;;;;0;0;1.086;5;0;52;Piemonte;1;148;24;2010;;0;10906;16;0;7;0;96;0;;0;5;0;0;0;;;0;5;390
0;1;;;0;0;010907   AZ. SS.ANTONIO E BIAGIO E C.ARRIGO;AZIENDA OSPEDALIERA;0;AZ. SS.ANTONIO E BIAGIO E C.ARRIGO;0;;0;2;0;0;76;;;0;;86;;;29;;0;312;0;5;1;0;0;0;10;0;;0;16;0;0;0;0;7;1;;;;114;;;0;0;0;1;863;6;0;46;Piemonte;;124;5;2010;;0;10907;19;;4;;62;0;13;;90;0;0;1;;;0;4;409
0;1;;;0;0;010908   OSPEDALE MAURIZIANO  UMBERTO I - TORINO;AZIENDA OSPEDALIERA;0;OSPEDALE MAURIZIANO  UMBERTO I - TORINO;1;;12;6;0;;38;1;0;0;5;147;;;35;;0;226;0;11;3;0;0;0;10;0;;0;7;0;0;0;0;4;3;;;4;151;0;;;0;0;3;618;7;0;29;Piemonte;1;167;14;2010;;0;10908;13;0;0;;55;0;15;0;135;0;0;1;;;0;7;330
1;1;;;0;1;030951   A.O. OSP.CIRC. FONDAZIONE MACCHI-VARESE;AZIENDA OSPEDALIERA;0;A.O. OSP.CIRC. FONDAZIONE MACCHI-VARESE;0;;83;11;;;126;2;;0;;121;;;104;;0;406;0;7;0;0;0;0;30;0;;0;9;0;0;0;0;11;0;;;;240;;;;0;0;;1.368;11;0;50;Lombardia;;224;11;2010;;0;30951;11;;2;;186;2;24;0;200;0;0;1;;;0;6;510
0;1;;;0;0;030952   A.O. S.ANTONIO ABATE - GALLARATE;AZIENDA OSPEDALIERA;0;A.O. S.ANTONIO ABATE - GALLARATE;0;;0;6;0;;63;;0;0;10;41;;;63;;0;114;0;4;;0;0;0;30;;;0;1;0;0;0;0;6;1;;;2;270;0;;;0;0;1;630;5;0;33;Lombardia;;103;3;2010;;;30952;8;;1;;87;;;;15;0;0;1;;;0;;251
0;0;;;0;0;030953   A.O. OSPEDALE DI CIRCOLO - BUSTO ARSIZIO;AZIENDA OSPEDALIERA;0;A.O. OSPEDALE DI CIRCOLO - BUSTO ARSIZIO;0;;0;11;;;88;2;0;0;6;73;;;44;;0;205;0;7;;0;0;0;30;;;0;15;0;;0;0;11;;;;;170;;;;0;0;;1.369;10;0;55;Lombardia;;183;7;2010;;;30953;6;;2;;134;0;;0;206;0;0;1;;;0;4;473
1;1;;;0;16;030954   A.O. SPEDALI CIVILI - BRESCIA;AZIENDA OSPEDALIERA;0;A.O. SPEDALI CIVILI - BRESCIA;8;;141;10;0;;136;;2;1;33;148;;;74;;0;451;0;11;2;0;0;0;30;0;;1;15;0;0;0;2;9;1;;;12;407;0;;;0;0;3;2.274;19;0;106;Lombardia;;435;29;2010;;0;30954;42;;5;;201;0;13;;633;0;0;1;;;0;10;820
0;1;;;0;0;"030955   A.O. \MELLINO MELLINI\"" - CHIARI""";AZIENDA OSPEDALIERA;0;"A.O. \MELLINO MELLINI\"" - CHIARI""";0;;0;4;;;52;1;0;0;4;71;;;31;;0;69;;2;1;0;0;0;30;0;;0;10;0;;0;0;7;;;;6;115;0;0;;0;0;;498;6;0;24;Lombardia;;84;5;2010;;0;30955;5;;2;;47;;1;0;77;0;0;3;1;;0;;186
